Year,Team,wins,losses,PF,yards,plays,yards/play,TO,Fumbles Lost,1st downs,completions,pass attempts,pass yards,pass td,int,net yards per pass att,pass 1st downs,Unnamed: 17,rush yards,rush td,rush yards per att,rush 1st downs,penalties,pen yards,pen 1st downs,number drives,score percentage,turnover percentage,avg start,avg time per drive,avg plays per drive,avg yards per drive,avg points per drive,SB,Winner,Winner Pts,Loser,Loser Pts
2012,11,6,10,330,5010,957,5.2,28,12,260,318,540,3323,17,16,5.7,166,378,1687,10,4.5,70,106,847,24,188,27.7,14.9,Own 25.4,2:21,5.26,26.6,1.4, 46,17,21,1,17
2012,10,2,14,255,4788,994,4.8,26,9,269,328,586,3419,20,17,5.4,157,358,1369,5,3.8,76,101,955,36,196,25.5,12.8,Own 26.6,2:17,5.21,24.4,1.28, 46,17,21,1,17
2012,13,13,3,481,6366,1090,5.8,25,14,380,402,588,4534,37,11,7.4,232,481,1832,12,3.8,112,100,805,36,188,39.9,12.2,Own 29.1,2:40,5.97,33.9,2.24, 46,17,21,1,17
2012,15,7,9,350,4756,988,4.8,26,11,293,338,528,3295,26,15,5.7,184,411,1461,4,3.6,81,103,796,28,180,30.6,13.9,Own 28.9,2:49,5.64,26.4,1.58, 46,17,21,1,17
2012,16,4,12,290,5504,1032,5.3,26,10,300,376,629,4084,24,16,6.2,200,376,1420,4,3.8,72,108,939,28,188,31.4,12.8,Own 26.0,2:31,5.67,29.0,1.54, 46,17,21,1,17
2012,14,2,14,211,5108,1015,5.0,37,17,286,273,475,2713,8,20,5.3,144,500,2395,9,4.8,118,92,733,24,186,24.2,18.8,Own 26.4,2:37,5.64,27.4,1.09, 46,17,21,1,17
2012,18,10,6,436,6131,994,6.2,14,6,341,291,442,3422,24,8,7.2,171,519,2709,22,5.2,144,116,985,26,183,39.3,7.7,Own 27.5,2:44,5.6,33.6,2.23, 46,17,21,1,17
2012,17,9,7,429,5687,968,5.9,21,6,327,323,539,3825,26,15,6.8,187,409,1862,18,4.6,103,72,578,37,176,43.8,11.9,Own 31.4,2:39,5.72,32.3,2.31, 46,17,21,1,17
2012,19,8,8,376,5994,1049,5.7,29,10,338,434,658,4729,29,19,6.8,237,355,1265,8,3.6,76,117,853,25,180,36.7,15.0,Own 27.2,2:45,6.0,33.2,1.92, 46,17,21,1,17
2012,20,4,12,280,5665,1079,5.3,37,22,332,367,618,3791,18,15,5.7,190,413,1874,10,4.5,111,98,813,31,184,29.9,17.9,Own 25.6,2:35,6.03,30.4,1.51, 46,17,21,1,17
2012,24,11,5,433,5751,1042,5.5,16,8,341,374,558,4049,40,8,6.6,213,433,1702,9,3.9,85,103,923,43,186,37.6,8.1,Own 31.2,2:37,5.78,30.9,2.18, 46,17,21,1,17
2012,22,10,6,379,5385,1001,5.4,23,11,306,300,483,2751,18,12,5.3,163,486,2634,16,5.4,113,90,830,30,182,37.9,12.6,Own 27.4,2:32,5.71,29.5,1.88, 46,17,21,1,17
2012,21,10,6,375,4969,999,5.0,24,8,292,287,485,2999,21,16,5.7,163,470,1970,11,4.2,99,102,811,30,195,30.3,11.8,Own 31.1,2:37,5.29,25.4,1.56, 46,17,21,1,17
2012,23,4,12,372,6540,1160,5.6,33,16,382,445,740,4927,22,17,6.4,272,391,1613,17,4.1,84,103,944,26,197,36.0,15.2,Own 25.1,2:36,6.07,33.2,1.87, 46,17,21,1,17
2012,27,13,3,419,5906,1021,5.8,18,4,343,422,615,4509,32,14,7.0,247,378,1397,12,3.7,70,55,415,26,175,44.0,10.3,Own 29.0,2:49,6.05,33.7,2.33, 46,17,21,1,17
2012,26,7,9,357,5771,988,5.8,22,10,328,284,490,3683,19,12,7.0,171,462,2088,21,4.5,123,98,835,34,175,32.6,10.3,Own 25.8,2:44,5.77,32.9,1.91, 46,17,21,1,17
2012,28,7,9,461,6574,1067,6.2,24,5,352,423,671,4997,43,19,7.2,267,370,1577,10,4.3,64,104,911,21,190,37.4,12.1,Own 24.2,2:26,5.73,34.7,2.24, 46,17,21,1,17
2012,25,7,9,389,5820,1008,5.8,23,6,301,311,566,3983,27,17,6.7,188,416,1837,13,4.4,89,101,819,24,193,35.2,10.9,Own 29.0,2:31,5.39,30.1,1.89, 46,17,21,1,17
2012,32,11,4,397,5789,969,6.0,16,8,322,289,436,3298,23,8,6.9,172,492,2491,17,5.1,128,109,960,22,178,39.3,7.9,Own 31.8,2:51,5.68,32.5,2.1, 46,17,21,1,17
2012,29,11,5,412,5610,974,5.8,18,8,311,259,405,3031,27,10,6.9,153,536,2579,16,4.8,129,110,890,29,170,39.4,10.0,Own 29.4,3:00,5.89,32.9,2.19, 46,17,21,1,17
2012,30,7,8,299,5264,1002,5.3,22,8,287,332,557,3550,22,14,6.0,189,410,1714,5,4.2,79,130,978,19,182,27.5,11.0,Own 24.4,2:37,5.68,28.9,1.42, 46,17,21,1,17
2012,31,5,11,250,4209,1018,4.1,34,13,246,337,608,3005,11,21,4.5,168,352,1204,10,3.4,58,102,857,20,209,22.0,14.8,Own 30.4,2:15,5.0,20.1,1.06, 46,17,21,1,17
2011,1,13,3,513,6848,1082,6.3,17,5,399,402,612,5084,39,12,7.9,262,438,1764,18,4.0,107,87,815,30,180,47.2,8.3,Own 29.3,2:33,6.19,37.9,2.68, 45,24,31,6,25
2011,4,8,8,377,4989,1030,4.8,34,16,301,310,547,3297,26,18,5.6,173,443,1692,14,3.8,92,102,849,36,203,29.6,13.8,Own 30.9,2:26,5.2,24.4,1.69, 45,24,31,6,25
2011,2,6,10,329,5078,990,5.1,25,12,287,280,469,3091,20,13,5.9,166,469,1987,11,4.2,89,85,779,32,195,32.8,12.8,Own 29.5,2:31,5.28,25.9,1.62, 45,24,31,6,25
